Be.	Mo.	Set.pal	ae.	Cyc.bar	Des.gan	Mel.rep	Imp.sp.	Lep.pan	Phy.ama	J.	Man.uti	Cen.asi	Sco.dul	Ver.sp.	Thu.gra	Hed.aur	Mol.pen	Vit.qui	Thy.lat	Pae.pil	Sel.hel	Chr.odo	Phr.val	Sol.nig	Mim.dip	Aj.	Cyn.dac	Blu.lac	Ele.ind	The.sub	Spi.pan	Eup.hir	Bid.pil	Pen.pol	Oxa.cor	Cra.cre	Mit.vil	Not_identified	Pas.con	Dig.rad	Lyg.fle	Age.con	Con.sum	Plot1m2	LU	Field	Date
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	80	M3-M-1	M	M3	03/16/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	126	M3-M-2	M	M3	03/16/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	160	M3-M-3	M	M3	03/16/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	115	M3-M-4	M	M3	03/16/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	103	M3-M-5	M	M3	03/16/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	30	49	M4-M-1	M	M4	03/24/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	13	M4-M-2	M	M4	03/24/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	58	29	M4-M-3	M	M4	03/24/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	23	26	M4-M-4	M	M4	03/24/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	15	M4-M-5	M	M4	03/24/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	12	2	M5-M-1	M	M5	03/28/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	27	M5-M-2	M	M5	03/28/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	6	18	M5-M-3	M	M5	03/28/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	13	13	M5-M-4	M	M5	03/28/2016
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	66	49	M5-M-5	M	M5	03/28/2016
